cohort	run	base	contributing	base_IG_1D	contributing_IG_1D	IG_2D_added	total_IG
ZhuF_2020	1	Bacteroides_plebeius	Akkermansia_muciniphila	0.0997772216796875	13.2310180664062	26.0093383789062	26.1091156005859
ZhuF_2020	1	Lactobacillus_mucosae	Phascolarctobacterium_succinatutens	0.05572509765625	3.72381591796875	25.5983734130859	25.6540985107422
ZhuF_2020	1	Bacteroides_plebeius	Eubacterium_eligens	0.0997772216796875	3.79707336425781	25.6232147216797	25.7229919433594
ZhuF_2020	1	Bacteroides_plebeius	Dorea_formicigenerans	0.0997772216796875	0.0281829833984375	25.1927490234375	25.2925262451172
ZhuF_2020	1	Dorea_formicigenerans	Bacteroides_plebeius	0.0281829833984375	0.0997772216796875	25.2643432617188	25.2925262451172
ZhuF_2020	1	Bacteroides_plebeius	Eubacterium_siraeum	0.0997772216796875	3.10369873046875	26.9684295654297	27.0682067871094
ZhuF_2020	1	Bacteroides_plebeius	Butyricimonas_virosa	0.0997772216796875	1.94264221191406	26.0968322753906	26.1966094970703
ZhuF_2020	1	Bacteroides_plebeius	Kluyvera_georgiana	0.0997772216796875	2.1923828125	25.0168609619141	25.1166381835938
ZhuF_2020	1	Bacteroides_plebeius	Monoglobus_pectinilyticus	0.0997772216796875	3.66465759277344	25.6154479980469	25.7152252197266
ZhuF_2020	1	Bacteroides_plebeius	Bilophila_wadsworthia	0.0997772216796875	0.3070068359375	26.9417114257812	27.0414886474609
ZhuF_2020	1	Bilophila_wadsworthia	Bacteroides_plebeius	0.3070068359375	0.0997772216796875	26.7344818115234	27.0414886474609
ZhuF_2020	1	Bacteroides_plebeius	Bacteroides_intestinalis	0.0997772216796875	1.71318054199219	25.0068206787109	25.1065979003906
ZhuF_2020	1	Bacteroides_plebeius	Streptococcus_sanguinis	0.0997772216796875	2.05659484863281	25.4997100830078	25.5994873046875
ZhuF_2020	1	Bacteroides_plebeius	Bacteroides_ovatus	0.0997772216796875	0.65777587890625	25.3965911865234	25.4963684082031
ZhuF_2020	1	Bacteroides_plebeius	Holdemania_filiformis	0.0997772216796875	0.568405151367188	24.8503875732422	24.9501647949219
ZhuF_2020	1	Bacteroides_plebeius	Eubacterium_sp_CAG_180	0.0997772216796875	11.8582305908203	25.8015747070312	25.9013519287109
ZhuF_2020	1	Bacteroides_plebeius	Clostridium_symbiosum	0.0997772216796875	3.22323608398438	26.7334442138672	26.8332214355469
ZhuF_2020	1	Bifidobacterium_longum	Bacteroides_plebeius	0.710372924804688	0.0997772216796875	26.9327239990234	27.6430969238281
ZhuF_2020	1	Bacteroides_plebeius	Bifidobacterium_longum	0.0997772216796875	0.710372924804688	27.5433197021484	27.6430969238281
ZhuF_2020	1	Bacteroides_coprocola	Bacteroides_plebeius	1.03802490234375	0.0997772216796875	26.3728637695312	27.410888671875
ZhuF_2020	1	Bacteroides_plebeius	Bacteroides_coprocola	0.0997772216796875	1.03802490234375	27.3111114501953	27.410888671875
ZhuF_2020	1	Bacteroides_plebeius	Eisenbergiella_tayi	0.0997772216796875	5.31356811523438	27.0020751953125	27.1018524169922
ZhuF_2020	1	Flavonifractor_plautii	Bacteroides_plebeius	0.671798706054688	0.0997772216796875	25.5334014892578	26.2052001953125
ZhuF_2020	1	Bacteroides_plebeius	Flavonifractor_plautii	0.0997772216796875	0.671798706054688	26.1054229736328	26.2052001953125
ZhuF_2020	1	Phascolarctobacterium_faecium	Bacteroides_plebeius	0.060394287109375	0.0997772216796875	25.8020324707031	25.8624267578125
ZhuF_2020	1	Bacteroides_plebeius	Phascolarctobacterium_faecium	0.0997772216796875	0.060394287109375	25.7626495361328	25.8624267578125
ZhuF_2020	1	Eggerthella_lenta	Bacteroides_plebeius	0.680953979492188	0.0997772216796875	25.2088775634766	25.8898315429688
ZhuF_2020	1	Bacteroides_plebeius	Eggerthella_lenta	0.0997772216796875	0.680953979492188	25.7900543212891	25.8898315429688
ZhuF_2020	1	Eubacterium_ventriosum	Bacteroides_plebeius	0.148727416992188	0.0997772216796875	25.9522247314453	26.1009521484375
ZhuF_2020	1	Bacteroides_plebeius	Eubacterium_ventriosum	0.0997772216796875	0.148727416992188	26.0011749267578	26.1009521484375
ZhuF_2020	1	Bacteroides_plebeius	Erysipelatoclostridium_ramosum	0.0997772216796875	1.80755615234375	25.0861053466797	25.1858825683594
ZhuF_2020	1	Bacteroides_plebeius	Coprobacillus_cateniformis	0.0997772216796875	3.73387145996094	27.6692352294922	27.7690124511719
ZhuF_2020	1	Bacteroides_plebeius	Hungatella_hathewayi	0.0997772216796875	3.71675109863281	26.3030242919922	26.4028015136719
ZhuF_2020	1	Bacteroides_plebeius	Clostridium_innocuum	0.0997772216796875	6.75900268554688	31.4992370605469	31.5990142822266
ZhuF_2020	1	Bacteroides_plebeius	Parasutterella_excrementihominis	0.0997772216796875	0.692672729492188	24.9117584228516	25.0115356445312
ZhuF_2020	1	Bacteroides_plebeius	Prevotella_sp_CAG_279	0.0997772216796875	4.39158630371094	24.9915161132812	25.0912933349609
ZhuF_2020	1	Bacteroides_plebeius	Mitsuokella_multacida	0.0997772216796875	2.19253540039062	24.9952850341797	25.0950622558594
ZhuF_2020	1	Sellimonas_intestinalis	Bacteroides_plebeius	0.591476440429688	0.0997772216796875	26.0309600830078	26.6224365234375
ZhuF_2020	1	Bacteroides_plebeius	Sellimonas_intestinalis	0.0997772216796875	0.591476440429688	26.5226593017578	26.6224365234375
ZhuF_2020	1	Bacteroides_plebeius	Streptococcus_pasteurianus	0.0997772216796875	2.21490478515625	25.5731964111328	25.6729736328125
ZhuF_2020	1	Bacteroides_finegoldii	Bacteroides_plebeius	1.17454528808594	0.0997772216796875	29.0841979980469	30.2587432861328
ZhuF_2020	1	Bacteroides_plebeius	Bacteroides_finegoldii	0.0997772216796875	1.17454528808594	30.1589660644531	30.2587432861328
ZhuF_2020	1	Bacteroides_plebeius	Prevotella_stercorea	0.0997772216796875	3.88426208496094	26.2416229248047	26.3414001464844
ZhuF_2020	1	Bacteroides_plebeius	Clostridium_aldenense	0.0997772216796875	9.46835327148438	30.5526580810547	30.6524353027344
ZhuF_2020	1	Dialister_sp_CAG_357	Bacteroides_plebeius	0.361663818359375	0.0997772216796875	27.2569732666016	27.6186370849609
ZhuF_2020	1	Bacteroides_plebeius	Dialister_sp_CAG_357	0.0997772216796875	0.361663818359375	27.5188598632812	27.6186370849609
ZhuF_2020	1	Bacteroides_plebeius	Ruminococcus_lactaris	0.0997772216796875	2.72825622558594	24.8631744384766	24.9629516601562
ZhuF_2020	1	Klebsiella_aerogenes	Bacteroides_plebeius	0.1009521484375	0.0997772216796875	25.1041717529297	25.2051239013672
ZhuF_2020	1	Bacteroides_plebeius	Klebsiella_aerogenes	0.0997772216796875	0.1009521484375	25.1053466796875	25.2051239013672
ZhuF_2020	1	Bacteroides_plebeius	Clostridium_ventriculi	0.0997772216796875	6.27114868164062	25.9361267089844	26.0359039306641
ZhuF_2020	1	Bacteroides_plebeius	Phascolarctobacterium_sp_CAG_266	0.0997772216796875	1.36941528320312	25.0865631103516	25.1863403320312
ZhuF_2020	1	Bacteroides_plebeius	Lactobacillus_salivarius	0.0997772216796875	3.08509826660156	25.2208404541016	25.3206176757812
ZhuF_2020	1	Bacteroides_plebeius	Lactococcus_petauri	0.0997772216796875	4.06329345703125	26.0014190673828	26.1011962890625
ZhuF_2020	1	Dialister_invisus	Bacteroides_plebeius	0.468765258789062	0.0997772216796875	26.0125732421875	26.4813385009766
ZhuF_2020	1	Bacteroides_plebeius	Dialister_invisus	0.0997772216796875	0.468765258789062	26.3815612792969	26.4813385009766
ZhuF_2020	1	Bacteroides_plebeius	Streptococcus_thermophilus	0.0997772216796875	5.32879638671875	28.1167526245117	28.2165298461914
ZhuF_2020	1	Bacteroides_plebeius	Saccharomyces_cerevisiae	0.0997772216796875	1.36941528320312	25.0865631103516	25.1863403320312
ZhuF_2020	1	Prevotella_sp_AM42_24	Bacteroides_plebeius	0.186935424804688	0.0997772216796875	25.7646942138672	25.9516296386719
ZhuF_2020	1	Bacteroides_plebeius	Prevotella_sp_AM42_24	0.0997772216796875	0.186935424804688	25.8518524169922	25.9516296386719
ZhuF_2020	1	Bacteroides_plebeius	Lactobacillus_crispatus	0.0997772216796875	3.66465759277344	25.6154632568359	25.7152404785156
ZhuF_2020	1	Bacteroides_plebeius	Haemophilus_sp_HMSC71H05	0.0997772216796875	2.93428039550781	27.4451446533203	27.544921875
ZhuF_2020	1	Enterobacter_bugandensis	Bacteroides_plebeius	0.683853149414062	0.0997772216796875	24.9897155761719	25.6735687255859
ZhuF_2020	1	Bacteroides_plebeius	Enterobacter_bugandensis	0.0997772216796875	0.683853149414062	25.5737915039062	25.6735687255859
ZhuF_2020	1	Bacteroides_plebeius	Haemophilus_sputorum	0.0997772216796875	7.03715515136719	30.1340026855469	30.2337799072266
ZhuF_2020	1	Bacteroides_plebeius	Lactobacillus_amylovorus	0.0997772216796875	7.03715515136719	26.0643310546875	26.1641082763672
ZhuF_2020	1	Bacteroides_plebeius	Aeromonas_caviae	0.0997772216796875	1.91419982910156	25.2150268554688	25.3148040771484
ZhuF_2020	1	Bacteroides_plebeius	Citrobacter_sp_MGH106	0.0997772216796875	6.27114868164062	25.9361267089844	26.0359039306641
ZhuF_2020	1	Bacteroides_plebeius	Cronobacter_sakazakii	0.0997772216796875	9.07600402832031	25.4814605712891	25.5812377929688
ZhuF_2020	1	Bacteroides_plebeius	Bacillus_cereus_group	0.0997772216796875	4.09359741210938	25.7444305419922	25.8442077636719
ZhuF_2020	1	Bacteroides_plebeius	Alkaliphilus_oremlandii	0.0997772216796875	8.22752380371094	24.9948577880859	25.0946350097656
ZhuF_2020	1	Bacteroides_plebeius	Melissococcus_sp_OM08_11BH	0.0997772216796875	7.320556640625	26.6831359863281	26.7829132080078
ZhuF_2020	1	Mycobacterium_avium	Bacteroides_plebeius	1.34187316894531	0.0997772216796875	26.3477935791016	27.6896667480469
ZhuF_2020	1	Bacteroides_plebeius	Mycobacterium_avium	0.0997772216796875	1.34187316894531	27.5898895263672	27.6896667480469
ZhuF_2020	1	PWY-7219:_adenosine_ribonucleotides_de_novo_biosynthesis	Bacteroides_plebeius	0.904632568359375	0.0997772216796875	26.0030517578125	26.9076843261719
ZhuF_2020	1	Bacteroides_plebeius	PWY-7219:_adenosine_ribonucleotides_de_novo_biosynthesis	0.0997772216796875	0.904632568359375	26.8079071044922	26.9076843261719
ZhuF_2020	1	PWY-6609:_adenine_and_adenosine_salvage_III	Bacteroides_plebeius	0.989212036132812	0.0997772216796875	25.2226715087891	26.2118835449219
ZhuF_2020	1	Bacteroides_plebeius	PWY-6609:_adenine_and_adenosine_salvage_III	0.0997772216796875	0.989212036132812	26.1121063232422	26.2118835449219
ZhuF_2020	1	Bacteroides_plebeius	PWY-1042:_glycolysis_IV_(plant_cytosol)	0.0997772216796875	4.27151489257812	28.0352554321289	28.1350326538086
ZhuF_2020	1	Bacteroides_plebeius	PWY-6151:_S-adenosyl-L-methionine_cycle_I	0.0997772216796875	5.41664123535156	28.8516082763672	28.9513854980469
ZhuF_2020	1	PWY-6387:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_I_(meso-diaminopimelate_containing)	Bacteroides_plebeius	0.283645629882812	0.0997772216796875	25.1222229003906	25.4058685302734
ZhuF_2020	1	Bacteroides_plebeius	PWY-6387:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_I_(meso-diaminopimelate_containing)	0.0997772216796875	0.283645629882812	25.3060913085938	25.4058685302734
ZhuF_2020	1	PWY-6385:_peptidoglycan_biosynthesis_III_(mycobacteria)	Bacteroides_plebeius	0.744400024414062	0.0997772216796875	25.6423492431641	26.3867492675781
ZhuF_2020	1	Bacteroides_plebeius	PWY-6385:_peptidoglycan_biosynthesis_III_(mycobacteria)	0.0997772216796875	0.744400024414062	26.2869720458984	26.3867492675781
ZhuF_2020	1	Bacteroides_plebeius	PWY-6163:_chorismate_biosynthesis_from_3-dehydroquinate	0.0997772216796875	1.08464050292969	25.3136138916016	25.4133911132812
ZhuF_2020	1	PWY-6700:_queuosine_biosynthesis	Bacteroides_plebeius	0.1009521484375	0.0997772216796875	29.9870910644531	30.0880432128906
ZhuF_2020	1	Bacteroides_plebeius	PWY-6700:_queuosine_biosynthesis	0.0997772216796875	0.1009521484375	29.9882659912109	30.0880432128906
ZhuF_2020	1	Bacteroides_plebeius	RIBOSYN2-PWY:_flavin_biosynthesis_I_(bacteria_and_plants)	0.0997772216796875	2.242431640625	25.8340606689453	25.933837890625
ZhuF_2020	1	Bacteroides_plebeius	PWY-7199:_pyrimidine_deoxyribonucleosides_salvage	0.0997772216796875	4.20637512207031	27.4029846191406	27.5027618408203
ZhuF_2020	1	PWY-5097:_L-lysine_biosynthesis_VI	Bacteroides_plebeius	0.321975708007812	0.0997772216796875	27.0067749023438	27.3287506103516
ZhuF_2020	1	Bacteroides_plebeius	PWY-5097:_L-lysine_biosynthesis_VI	0.0997772216796875	0.321975708007812	27.2289733886719	27.3287506103516
ZhuF_2020	1	PWY-2942:_L-lysine_biosynthesis_III	Bacteroides_plebeius	0.0981903076171875	0.0997772216796875	28.1365203857422	28.2347106933594
ZhuF_2020	1	Bacteroides_plebeius	PWY-2942:_L-lysine_biosynthesis_III	0.0997772216796875	0.0981903076171875	28.1349334716797	28.2347106933594
ZhuF_2020	1	Bacteroides_plebeius	PWY-841:_superpathway_of_purine_nucleotides_de_novo_biosynthesis_I	0.0997772216796875	1.26268005371094	25.4127349853516	25.5125122070312
ZhuF_2020	1	Bacteroides_plebeius	DENOVOPURINE2-PWY:_superpathway_of_purine_nucleotides_de_novo_biosynthesis_II	0.0997772216796875	1.09048461914062	25.2050933837891	25.3048706054688
ZhuF_2020	1	Bacteroides_plebeius	OANTIGEN-PWY:_O-antigen_building_blocks_biosynthesis_(E._coli)	0.0997772216796875	6.24317932128906	25.8376922607422	25.9374694824219
ZhuF_2020	1	PWY-7208:_superpathway_of_pyrimidine_nucleobases_salvage	Bacteroides_plebeius	0.904495239257812	0.0997772216796875	25.1537322998047	26.0582275390625
ZhuF_2020	1	Bacteroides_plebeius	PWY-7208:_superpathway_of_pyrimidine_nucleobases_salvage	0.0997772216796875	0.904495239257812	25.9584503173828	26.0582275390625
ZhuF_2020	1	Bacteroides_plebeius	UDPNAGSYN-PWY:_UDP-N-acetyl-D-glucosamine_biosynthesis_I	0.0997772216796875	6.24317932128906	25.8376922607422	25.9374694824219
ZhuF_2020	1	Bacteroides_plebeius	PWY-7539:_6-hydroxymethyl-dihydropterin_diphosphate_biosynthesis_III_(Chlamydia)	0.0997772216796875	0.910202026367188	25.4550476074219	25.5548248291016
ZhuF_2020	2	Bilophila_wadsworthia	Akkermansia_muciniphila	1.50433349609375	13.2310180664062	25.57421875	27.0785522460938
ZhuF_2020	2	Lactobacillus_mucosae	Phascolarctobacterium_succinatutens	0.0038604736328125	2.45401000976562	25.6502380371094	25.6540985107422
